,df_final_title,index_df_final,my_db_title,index_my_db,fuzzy_value,edited
6,dont_touch_her_3,64,dont_touch_her,62,93,yes
7,dont_touch_her_3,64,dont_touch_her,62,93,yes
9,dont_touch_her_3,64,dont_touch_her_6,1654,94,yes
11,babe_zz_watch_a_xxx_parody,73,babezz_watch_a_xxx_parody,682,98,yes
12,babe_zz_watch_a_xxx_parody,73,babezz_watch_a_xxx_parody,682,98,yes
15,lets_get_facials_2,79,lets_get_facials,696,94,yes
16,personal_trainers_session_3,81,personal_trainers_session_2,640,96,yes
17,personal_trainers_session_3,81,personal_trainers_session_1,740,96,yes
19,personal_trainers_session_1,84,personal_trainers_session_2,640,96,yes
21,personal_trainers_session_1,84,personal_trainers_session_3,741,96,yes
23,tour_of_london_part_one,91,tour_of_london_part_two,1274,91,yes
24,1_800_phone_sex_line_1,92,1_800_phone_sex_line_7,762,95,yes
26,personal_trainers_session_2,102,personal_trainers_session_1,740,96,yes
27,personal_trainers_session_2,102,personal_trainers_session_3,741,96,yes
34,moms_house_moms_rules,121,moms_house_moms_rule,678,98,yes
36,fuck_christmas_part_4,128,fuck_christmas_part_3,714,95,yes
38,fuck_christmas_part_4,128,fuck_christmas_part_2,746,95,yes
39,1_800_phone_sex_line_8,130,1_800_phone_sex_line_7,762,95,yes
40,1_800_phone_sex_line_8,130,1_800_phone_sex_Line 8,769,91,yes
41,slut_hotel_part_1,134,slut_hotel_part_2,5,94,yes
42,slut_hotel_part_1,134,slut_hotel_part_3,1322,94,yes
45,1_800_phone_sex_line_4,138,1_800_phone_sex_line_7,762,95,yes
50,1_800_phone_sex_line_6,150,1_800_phone_sex_line_7,762,95,yes
52,1_800_phone_sex_line_3,155,1_800_phone_sex_line_7,762,95,yes
53,star_trexxx_the_captains_seed_xxx_parody,166,star_trexxx_the_captains_seed_XXX_parody,685,92,yes
54,meeting_his_horny_monster_a_xxx_parody,167,meeting_his _horny_monster_a_xxx_parody,787,99,yes
60,taught_to_talk_dirty,198,taught_to_talk_dirty_mp4,675,91,yes
66,on_the_sidelines_on_her_knees,240,on_the_sideline_pn_her_knees,752,95,yes
75,whenever_wherever_however,258,whenever_whereever_however,757,98,yes
76,1_800_phone_sex_line_5,261,1_800_phone_sex_line_7,762,95,yes
