,Site,PS1,PS2,Title
0,Doctor Adventures,rachel_starr,anna_bell_peaks,the_last_dick_on_earth
1,Doctor Adventures,kendra_lust,nicole_aniston,doc_were_stuck
2,Doctor Adventures,kelsi_monroe,sean_lawless,dick_reduction
3,Doctor Adventures,riley_reid,van_wylde,nurse_riley
4,Doctor Adventures,madison_ivy,james_deen,youre_no_nurse
5,Doctor Adventures,dillion_harper,ramon_nomar,doctor_who
6,Doctor Adventures,briana_banks,nikki_benz,dick_stuck_in_fleshlight
7,Doctor Adventures,adriana_chechik,markus_dupree,the_fever_dream
8,Doctor Adventures,reagan_foxx,johnny_sins,my_husband_is_right_outside
9,Doctor Adventures,mia_malkova,bonnie_rotten,masters_of_fuck_2
10,Doctor Adventures,tina_kay,jordi_el_nino_polla,doctors_high_school_crush
11,Doctor Adventures,kortney_kane,madison_ivy,securing_the_will
12,Doctor Adventures,audrey_bitoni,johnny_sins,the_insomniac_sucker
13,Doctor Adventures,cytherea,johnny_sins,blind_experiment
14,Doctor Adventures,peta_jensen,johnny_sins,teaching_her_how_to_cum
15,Doctor Adventures,jessa_rhodes,keiran_lee,a_dose_of_cock_for_co_ed_blues
16,Doctor Adventures,nikki_benz,markus_dupree,nurse_nikkis_house_call
17,Doctor Adventures,veronica_avluv,danny_d,mom_visits_doc
18,Doctor Adventures,adriana_chechik,mick_blue,the_great_doctor_part_two
19,Doctor Adventures,ava_addams,bill_bailey,the_dick_doctor
20,Doctor Adventures,sarah_vandella,keiran_lee,cum_for_nurse_sarah
21,Doctor Adventures,rachel_starr,johnny_sins,zz_hospital_ri_dick_ulous_behavior
22,Doctor Adventures,phoenix_marie,michael_vegas,break_the_sperm_bank
23,Doctor Adventures,jillian_janson,xander_corvus,up_the_wrong_hole
24,Doctor Adventures,jada_stevens,mischa_brooks,how_to_consult_a_perfect_ass
25,Doctor Adventures,nicolette_shea,xander_corvus,mind_blowing
26,Doctor Adventures,lily_love,sean_lawless,perks_of_being_a_nurse
27,Doctor Adventures,ella_hughes,danny_d,good_boy
28,Doctor Adventures,rebecca_more,danny_d,sperm_bank_deposit
29,Doctor Adventures,anna_bell_peaks,xander_corvus,pharmacy_fuckdown
30,Doctor Adventures,monique_alexander,danny_d,sexy_dentist_knows_the_drill
31,Doctor Adventures,abigail_mac,preston_parker,ride_it_out
32,Doctor Adventures,melissa_moore,keiran_lee,a_pov_patient_pounding
33,Doctor Adventures,chanel_preston,veruca_james,nurse_a_cock_in_her
34,Doctor Adventures,peta_jensen,xander_corvus,clinic_cooch
35,Doctor Adventures,alison_tyler,xander_corvus,son_needs_a_doc_doc_needs_a_cock
36,Doctor Adventures,layla_london,keiran_lee,teasing_gone_too_far
37,Doctor Adventures,dani_daniels,luna_star,horny_hosts_of_purgatory
38,Doctor Adventures,audrey_bitoni,mick_blue,frankenslut
39,Doctor Adventures,veronica_avluv,xander_corvus,stroke_it_for_me
40,Doctor Adventures,riley_reid,johnny_castle,throat_treatment
41,Doctor Adventures,adriana_chechik,xander_corvus,porn_preference_test
42,Doctor Adventures,abella_danger,jasmeen,private_insemination
43,Doctor Adventures,monique_alexander,danny_d,jailhouse_fuck_three
44,Doctor Adventures,kayla_kayden,keiran_lee,kayla_wants_her_doctors_goo
45,Doctor Adventures,julia_ann,kylie_page,she_wants_it_both_ways
46,Doctor Adventures,monique_alexander,erik_everhard,dont_just_kiss_ass_fuck_it
47,Doctor Adventures,kagney_linn_karter,danny_d,super_nurse
48,Doctor Adventures,monique_alexander,ivy_lebelle,wait_your_turn
49,Doctor Adventures,ariella_ferrera,xander_corvus,doctor_i_cheated_on_my_girlfriend
50,Doctor Adventures,codi_bryant,johnny_sins,nursing_nookie
51,Doctor Adventures,jada_stevens,brick_danger,dr_bootys_pusscriptions
52,Doctor Adventures,reagan_foxx,keiran_lee,pushing_for_a_new_prescription
53,Doctor Adventures,phoenix_marie,johnny_castle,doctor_knows_best
54,Doctor Adventures,amirah_adara,danny_d,amirahs_anal_orgasms
55,Doctor Adventures,lena_paul,jessy_jones,horny_home_care
56,Doctor Adventures,bridgette_b,prince_yashua,the_butt_doctor
57,Doctor Adventures,valentina_nappi,johnny_sins,a_nurse_has_needs
58,Doctor Adventures,melissa_lynn,keiran_lee,the_house_call
59,Doctor Adventures,august_taylor,van_wylde,dr_taylor_takes_her_medicine
60,Doctor Adventures,alexis_fawx,keiran_lee,fuck_the_pain_away
61,Doctor Adventures,lily_labeau,michael_vegas,the_impatient_patient
62,Doctor Adventures,adriana_chechik,keiran_lee,the_great_doctor_part_one
63,Doctor Adventures,katie_morgan,jessy_jones,my_stepmoms_physical
64,Doctor Adventures,aubrey_black,keiran_lee,all_backed_up
65,Doctor Adventures,romi_rain,mick_blue,doctor_cum_control
66,Doctor Adventures,abella_danger,danny_d,vaginal_stimulation_a_zz_medical_study
67,Doctor Adventures,yurizan_beltran,mick_blue,birthday_diagnos_ass
68,Doctor Adventures,kendra_spade,keiran_lee,feeling_blue_balls
69,Doctor Adventures,christie_stevens,mick_blue,the_anal_method
70,Doctor Adventures,reena_sky,toni_ribas,sex_ercise_at_physiotherapy
71,Doctor Adventures,julie_cash,keiran_lee,bedside_manner
72,Doctor Adventures,richelle_ryan,brick_danger,affair_with_a_doctor
73,Doctor Adventures,jane_douxxx,kissa_sins,peep_show_nurses
74,Doctor Adventures,lezley_zen,devon,hands_on_stepmom
75,Doctor Adventures,jessica_jaymes,bill_bailey,milking_the_patient
76,Doctor Adventures,jane_douxxx,keiran_lee,doing_the_rounds
77,Doctor Adventures,olivia_austin,j_mac,nurse_olivia
78,Doctor Adventures,madison_scott,clover,dr_madison
79,Doctor Adventures,alina_lopez,johnny_castle,pumping_under_pressure
80,Doctor Adventures,holly_michaels,keiran_lee,doctors_whore_ders
81,Doctor Adventures,lauren_phillips,alex_d,the_navy_nurse
82,Doctor Adventures,cherie_deville,charles_dera,blind_experiment_2
83,Doctor Adventures,gianna_nicole,rahyndee_james,worlds_nicest_nurses
84,Doctor Adventures,noelle_easton,jessy_jones,nurse_noelle
85,Doctor Adventures,tia_cyrus,ramon_nomar,the_candy_stripper
86,Doctor Adventures,august_ames,charles_dera,pussy_fever
87,Doctor Adventures,leigh_darby,chris_diamond,nasty_checkup_with_dr_darby
88,Doctor Adventures,veronica_rodriguez,johnny_sins,no_hablas_no_problem
89,Doctor Adventures,britney_amber,mickey_mod,the_nuru_nurse
90,Doctor Adventures,penny_pax,danny_d,straightening_her_out
91,Doctor Adventures,brandi_love,brick_danger,doctors_orders
92,Doctor Adventures,nikita_bellucci,danny_d,night_pleasures
93,Doctor Adventures,lennox_luxe,johnny_castle,emergency_titty_fuck
94,Doctor Adventures,jewels_jade,mackenzie_lohan,a_second_opinion
95,Doctor Adventures,carter_cruise,keiran_lee,the_placebo
96,Doctor Adventures,tory_lane,ramon_nomar,going_once_cumming_twice
97,Doctor Adventures,katrina_jade,darling_danika,learning_from_dr_milf
98,Doctor Adventures,asa_akira,christy_mack,i_still_havent_fucked_what_im_looking_for
99,Doctor Adventures,christina_shine,danny_d,this_one_weird_trick
100,Doctor Adventures,karlee_grey,charles_dera,fifty_c_cs_of_cum
101,Doctor Adventures,lena_paul,ryan_driller,stuck_n_fuck
102,Doctor Adventures,skyla_novea,michael_vegas,when_a_doctor_needs_help
103,Doctor Adventures,jessa_rhodes,johnny_sins,doc_takes_on_the_biggest_cock
104,Doctor Adventures,riley_reid,sean_michaels,the_vag_itarian
105,Doctor Adventures,trinity_st_clair,mick_blue,how_to_take_a_load
106,Doctor Adventures,nina_elle,brick_danger,doc_loves_my_cock
107,Doctor Adventures,ashley_fires,charles_dera,shes_crazy_for_cock_part_1
108,Doctor Adventures,casey_calvert,xander_corvus,black_cherry_pie
109,Doctor Adventures,karlee_grey,charles_dera,growth_spurt
110,Doctor Adventures,mary_jean,johnny_sins,triage_these_tits
111,Doctor Adventures,isis_love,ramon_nomar,intensive_care
112,Doctor Adventures,kagney_linn_karter,preston_parker,fucking_doctors
113,Doctor Adventures,jaclyn_taylor,keiran_lee,paramedic_pussy
114,Doctor Adventures,chanel_preston,keiran_lee,sperm_donor_needed
115,Doctor Adventures,parker_swayze,bruce_venture,zz_medical_center
116,Doctor Adventures,abigail_mac,xander_corvus,white_coat_pink_pussy
117,Doctor Adventures,rachel_roxxx,mick_blue,doctor_daydream
118,Doctor Adventures,miko_dai,chad_white,hes_faking
119,Doctor Adventures,lela_star,johnny_sins,get_it_up_grandpa
120,Doctor Adventures,juelz_ventura,jessy_jones,help_doc_im_horny
121,Doctor Adventures,natalie_monroe,erik_everhard,the_perverted_dentist
122,Doctor Adventures,brooklyn_blue,danny_d,are_you_even_a_doctor
123,Doctor Adventures,karma_rx,scott_nails,the_spank_banker
124,Doctor Adventures,brooke_brand,keiran_lee,forest_hump
125,Doctor Adventures,payton_west,johnny_sins,the_cock_in_the_doc
126,Doctor Adventures,diamond_jackson,erik_everhard,gimme_that_dick
127,Doctor Adventures,lauren_phillips,ryan_driller,stress_test_sex
128,Doctor Adventures,julia_ann,danny_d,hot_nurse_gets_the_cock_pumpin
129,Doctor Adventures,ariella_ferrera,danny_d,wet_naughty_sponge_bath_party
130,Doctor Adventures,candy_sexton,danny_d,open_wide
131,Doctor Adventures,veronica_vain,michael_vegas,awful_doc_takes_the_cock
132,Doctor Adventures,ariella_ferrera,xander_corvus,jailhouse_fuck_two
133,Doctor Adventures,jaclyn_taylor,xander_corvus,always_listen_to_your_doctor
134,Doctor Adventures,chanel_preston,charles_dera,hard_call
135,Doctor Adventures,valentina_nappi,christian_clay,im_horny_call_an_ambulance
136,Doctor Adventures,siri_dahl,johnny_sins,the_pavslut_experiment
137,Doctor Adventures,bonnie_rotten,danny_d,we_need_cum_stat
138,Doctor Adventures,peta_jensen,noelle_easton,sexperiments
139,Doctor Adventures,bonnie_rotten,brick_danger,dr_rottens_erotic_experiments
140,Doctor Adventures,anna_bell_peaks,romi_rain,the_last_dick_on_earth_remastered
141,Doctor Adventures,julia_de_lucia,danny_d,psycho_anal_ysis
142,Doctor Adventures,assh_lee,danny_d,brazzers_health_care
143,Doctor Adventures,keisha_grey,bill_bailey,the_resident_slut_part_two
144,Doctor Adventures,shawna_lenee,keiran_lee,this_nurse_is_a_hooker
145,Doctor Adventures,aaliyah_love,veruca_james,medical_deviants
146,Doctor Adventures,ashley_fires,ramon_nomar,shes_crazy_for_cock_part_2
147,Doctor Adventures,jamie_jackson,keiran_lee,where_there_is_ass_there_is_hope
148,Doctor Adventures,jasmine_jae,keiran_lee,waking_up_the_comatose_cock
149,Doctor Adventures,alexis_monroe,johnny_sins,dr_monroes_hardcore_medicine
150,Doctor Adventures,kiera_rose,charles_dera,pussy_is_the_best_medicine
151,Doctor Adventures,lily_adams,johnny_sins,nutjob_nurse
152,Doctor Adventures,samantha_rone,danny_d,doctors_without_boners
153,Doctor Adventures,marley_brinx,keiran_lee,cunnilingus_a_zz_medical_study
154,Doctor Adventures,julia_ann,keiran_lee,doctoring_the_results
155,Doctor Adventures,savannah_stevens,johnny_castle,like_what_you_see
156,Doctor Adventures,rina_ellis,danny_d,a_dream_cum_true
157,Doctor Adventures,sahara_knite,danny_d,sexy_doctor_adventures
158,Doctor Adventures,monique_alexander,markus_dupree,pinkblot_test
159,Doctor Adventures,tina_kay,danny_d,cock_reduction
160,Doctor Adventures,rachel_starr,nick_dundee,in_a_hurry_wait_a_minute
161,Doctor Adventures,emily_b,brick_danger,this_pharmacist_can_fuck_off
162,Doctor Adventures,brooke_wylde,tommy_gunn,how_to_please_a_sleaze
163,Doctor Adventures,brandi_love,johnny_sins,emergency_dick
164,Doctor Adventures,ania_kinski,danny_d,bad_medicine
165,Doctor Adventures,aria_alexander,sofia_valletta,doctor_nurse_take_a_fucking_break
166,Doctor Adventures,darcia_lee,marc_rose,just_like_that_nurse
167,Doctor Adventures,alexa_pierce,ramon_nomar,house_call_on_my_balls
